Date1,Date2,Date3,Date4,Date5,Date6,Date7,Date8,Date9,Date10,Date11,Date12
0,817.8233,6233.775,49338.29,581.1711,264.6964,3481.483,16906.98,2638.307,592.576,36276.32,95494.29
0,20.94433,4311.191,45087.79,108.0488,202.1477,3723.662,16741.1,540.5085,655.6984,54376.09,53357.14
0,105.579,2137.818,32309.04,1562.872,232.67,5743.167,25397.08,6727.598,1346.396,75294.68,14192.88
0,51.61278,3365.676,44649.64,27.82365,123.0831,2206.378,24492.62,6850.66,92.80188,114109.7,45820
0,129.3545,3381.504,30963.88,46.75179,0,2992.716,17018.52,11672.82,240.5327,102078.9,56440.03
0,376.3046,3932.525,28569.99,133.9412,0,3126.278,30058.47,18954.23,425.7675,43784.86,76735.64
0,973.5932,17637.41,36700.42,211.5816,112.5403,7796.888,43686.45,16463.33,33.1042,80174.26,73001.62
99.36773869,182.0721,16775.18,33475.7,98.76784,0,671.0379,14064.59,23301.34,0,106837.2,20288.65
0,753.097,15114.55,17033.65,0,0,1192.473,13706.06,21232.12,0,65427.53,28603.71
0,903.9964,9663.031,14628.56,188.8242,0,1037.198,15265.08,75802.11,0,17962.56,25567.77
69.89863951,1671.685,16177.75,21508.16,93.93016,0,1507.721,20485.36,137945.5,0,24113.57,90510.91
164.7648053,2376.078,11878.64,18554.67,0,0,404.9723,25663.24,131453,0,16002.17,35996.23
8.530317496,2357.043,6908.921,19497.5,5.390524,0,1514.602,34033.52,98229.21,0,16406.08,79672.84
38.45291537,3062.785,7433.601,26373.07,86.32074,0,1967.001,57190.45,32619.41,0,20164.3,144732.1
328.5339121,4224.223,13968.96,26876.83,32.82733,1.008647,1244.625,56047.21,65483.28,0,19562.79,177587
347.2226079,5269.504,17158.84,18862.28,0,0,799.6245,40729.91,107132.7,0,18997.09,195349.3
327.2603914,5125.636,34174.95,24696.01,0,0,3635.925,24162.14,126531.6,0,20059.84,173082.5
262.0729136,5446.787,24014.7,7526.866,29.33592,0,1030.816,20372.59,111954.5,0,21887.41,94154
206.1473599,4602.783,15802.3,1659.762,0,1003.08,3503.021,23428.3,64739.86,48.96753,42344.74,158299.7
137.920364,3424.341,10193.3,862.3487,0,699.4562,3897.43,17514.76,30667.56,0,44381.16,441791
107.6430107,3023.21,23207.17,4265.203,0,288.2691,2194.301,10771.61,31378.5,95.15652,33674.72,512145
255.9111184,2033.38,9115.574,5452.99,0,137.3424,2393.345,9775.712,26143.48,0,54857.48,311302.5
286.8895341,1623.459,4477.508,7592.63,0,0,3468.32,8241.791,15844.15,0,66933.9,155765.9
489.364663,306.2259,2422.914,6329.996,0,151.6171,4524.339,5067.677,17275.47,0,56085.18,176110.7
290.2197212,342.0771,4762.883,6656.358,0,366.0805,5606.668,12987.83,20238.52,0,92753.55,233018.8
41.49861583,46.5512,7040.53,13668.91,0,134.8288,6755.163,9459.978,28329.77,0,169660,294825.9
73.68273666,653.2124,14901.55,13570.41,56.00668,238.0049,33266.92,7326.322,16158.27,0,147104.6,210037.8
488.2060028,1465.568,2398.464,792.6831,0,0,11734.9,9478.071,20607.13,0,104647.7,98996.31
9.181764677,2198.812,4961.363,5245.065,0,20.3425,9294.458,3608.24,16051.83,0,81261.56,83735.29
0,3403.07,10517.1,15509.93,143.0476,0,9298.79,1932.883,23229.28,0,78086.73,117536.4
0,3561.839,3374.046,20176.42,242.1365,40.15333,6981.409,3579.255,15248.29,0,62090.3,98849.19
0,3843.011,1287.969,15515.5,344.7812,5.787106,5575.05,1552.06,9589.586,0,77259.97,58392.81
0,4457.112,3121.269,3873.28,966.7611,0,6297.027,659.8614,13587.94,0,100551.7,36454.66
0,4322.312,5280.3,6842.356,5.021317,0,4942.297,480.4618,17154.67,0,56627.6,41844.69
0,4215.705,5574.324,11092.04,0,0,3801.218,1502.885,23065.67,0,70009.17,59191.27
0,3873.048,3306.443,3501.125,0,0,2840.026,1657.86,17443.71,0,85941.09,87572.17
