Date1 girl,Date1 boy,Date2 girl,Date2 boy,Date3 girl,Date3 boy,Date4 girl,Date4 boy,Date5 girl,Date5 boy,Date6 girl,Date6 boy,Date7 girl,Date7 boy,Date8 girl,Date8 boy,Date9 girl,Date9 boy,Date10 girl,Date10 boy,Date11 girl,Date11 boy,Date12 girl,Date12 boy
1.217527,0.788117,0.921502,0.362486,0.126836,0.822634,0.115299,0.461113,0.074308,0.561287,0.331825,0.419111,0.083276,0.421672,0.075594,0.439338,0.881786,0.208782,0.099932,0.385541,1.040589,0.35226,1.464644,0.112723
1.205996,0.788117,0.922783,0.389384,0.124274,0.827757,0.115299,0.459832,0.071746,0.566411,0.331825,0.420392,0.085839,0.811056,0.074313,0.4419,0.877942,0.204939,0.102494,0.386822,1.049557,0.347136,1.495388,0.114004
1.200871,0.788117,0.920221,0.386822,0.122993,0.841848,0.115299,0.459832,0.073027,0.567691,0.329262,0.419111,0.085839,0.785439,0.07175,0.444461,0.885629,0.204939,0.101213,0.389384,1.067492,0.349698,1.501793,0.114004
1.191902,0.79196,0.915096,0.385541,0.124274,0.816229,0.115299,0.459832,0.067902,0.568972,0.333106,0.419111,0.084558,0.820023,0.073031,0.44318,0.872817,0.202377,0.098651,0.377856,1.073897,0.350979,1.49795,0.111442
1.200871,0.789398,0.911253,0.386822,0.125555,0.735529,0.115299,0.459832,0.073027,0.568972,0.333106,0.419111,0.08712,0.843078,0.073031,0.4419,0.885629,0.202377,0.101213,0.395788,1.080303,0.350979,1.488983,0.111442
1.205996,0.788117,0.909971,0.388103,0.126836,0.727844,0.115299,0.459832,0.074308,0.568972,0.334387,0.420392,0.08712,0.855887,0.074313,0.4419,0.889473,0.203658,0.097369,0.397069,1.080303,0.357384,1.48514,0.111442
1.19959,0.786836,0.912534,0.390665,0.124274,0.721439,0.119142,0.458551,0.070465,0.570253,0.329262,0.420392,0.08712,0.863572,0.074313,0.4419,0.899722,0.202377,0.099932,0.399631,1.079022,0.354822,1.47233,0.112723
1.197027,0.789398,0.913815,0.390665,0.131961,0.720158,0.117861,0.459832,0.073027,0.568972,0.329262,0.422953,0.08712,0.871257,0.073031,0.4419,0.909971,0.202377,0.102494,0.400912,1.082865,0.356103,1.456958,0.112723
1.190621,0.785555,0.906128,0.388103,0.129399,0.717596,0.117861,0.459832,0.074308,0.570253,0.329262,0.412706,0.084558,0.898155,0.074313,0.44318,0.902284,0.202377,0.098651,0.400912,1.07646,0.354822,1.444147,0.114004
1.194465,0.785555,0.911253,0.390665,0.122993,0.716315,0.114018,0.459832,0.070465,0.570253,0.333106,0.420392,0.080714,0.880223,0.069188,0.44318,0.904847,0.203658,0.099932,0.400912,1.07646,0.356103,1.442866,0.114004
1.186777,0.784274,0.90869,0.390665,0.122993,0.713753,0.115299,0.459832,0.073027,0.56513,0.334387,0.421672,0.085839,0.918649,0.075594,0.44318,0.898441,0.202377,0.101213,0.393227,1.086708,0.350979,1.340385,0.114004
1.175246,0.785555,0.90869,0.390665,0.106338,0.72272,0.11658,0.459832,0.071746,0.558725,0.333106,0.415268,0.088401,0.914807,0.074313,0.444461,0.888191,0.202377,0.102494,0.38298,1.080303,0.35226,1.332698,0.114004
1.173965,0.781713,0.899722,0.389384,0.102494,0.725282,0.11658,0.459832,0.071746,0.553602,0.325419,0.425515,0.085839,0.909683,0.07175,0.44318,0.890754,0.201096,0.099932,0.391946,1.07646,0.349698,1.314764,0.115285
1.159871,0.782993,0.901003,0.390665,0.103775,0.727844,0.117861,0.458551,0.073027,0.55104,0.319013,0.429358,0.088401,0.909683,0.073031,0.4419,0.909971,0.201096,0.101213,0.391946,1.067492,0.357384,1.277614,0.115285
1.153464,0.788117,0.899722,0.390665,0.103775,0.729125,0.126829,0.458551,0.069184,0.553602,0.325419,0.431919,0.088401,0.8751,0.073031,0.4419,0.925346,0.198535,0.102494,0.390665,1.059805,0.356103,1.262242,0.114004
1.158589,0.79196,0.895878,0.390665,0.101213,0.724001,0.129391,0.459832,0.074308,0.554883,0.324138,0.440885,0.08712,0.223138,0.074313,0.4419,0.926627,0.201096,0.099932,0.374014,1.046994,0.356103,1.345509,0.110161
1.158589,0.784274,0.89716,0.386822,0.102494,0.721439,0.125548,0.459832,0.070465,0.554883,0.325419,0.435762,0.089682,0.25644,0.075594,0.4419,0.939439,0.201096,0.099932,0.372733,1.035465,0.357384,1.344228,0.105037
1.154746,0.786836,0.893316,0.389384,0.099932,0.720158,0.126829,0.458551,0.071746,0.552321,0.327981,0.435762,0.088401,0.544636,0.075594,0.4419,0.949688,0.199815,0.102494,0.372733,1.027778,0.357384,1.350633,0.111442
1.157308,0.785555,0.892035,0.389384,0.102494,0.717596,0.121704,0.459832,0.074308,0.554883,0.3267,0.437043,0.085839,0.622769,0.075594,0.4419,0.968906,0.198535,0.101213,0.371452,1.022653,0.354822,1.362162,0.111442
1.150902,0.788117,0.889473,0.390665,0.105056,0.717596,0.124267,0.461113,0.071746,0.557445,0.329262,0.434481,0.08712,0.625331,0.074313,0.4419,1.004779,0.198535,0.099932,0.36889,1.003437,0.353541,1.353195,0.110161
1.152183,0.781713,0.884348,0.388103,0.110181,0.709911,0.126829,0.462393,0.073027,0.558725,0.327981,0.438324,0.083276,0.643263,0.074313,0.4419,1.002216,0.198535,0.101213,0.365047,1.013686,0.35226,1.349352,0.112723
1.157308,0.784274,0.883067,0.389384,0.119149,0.70863,0.126829,0.462393,0.075589,0.557445,0.331825,0.435762,0.084558,0.657352,0.075594,0.440619,1.000935,0.198535,0.099932,0.359924,1.008561,0.356103,1.337823,0.114004
1.152183,0.784274,0.889473,0.389384,0.115306,0.706068,0.119142,0.463674,0.071746,0.560006,0.329262,0.425515,0.088401,0.665037,0.075594,0.440619,1.008622,0.198535,0.099932,0.361205,0.998313,0.356103,1.325012,0.114004
1.147058,0.782993,0.901003,0.390665,0.115306,0.704787,0.117861,0.463674,0.074308,0.560006,0.324138,0.424234,0.088401,0.661195,0.076875,0.44318,0.980436,0.197254,0.102494,0.359924,0.991907,0.353541,1.304516,0.110161
1.136808,0.784274,0.912534,0.391946,0.116587,0.702225,0.120423,0.463674,0.074308,0.561287,0.322857,0.421672,0.085839,0.654791,0.074313,0.4419,0.991967,0.195973,0.099932,0.361205,0.997032,0.356103,1.271209,0.115285
1.125277,0.786836,0.926627,0.395788,0.115306,0.698382,0.121704,0.463674,0.067902,0.562568,0.320294,0.424234,0.08712,0.654791,0.075594,0.44318,0.97403,0.194692,0.101213,0.363767,1.000875,0.357384,1.260961,0.111442
1.125277,0.786836,0.956094,0.39835,0.114025,0.698382,0.119142,0.463674,0.073027,0.561287,0.320294,0.422953,0.089682,0.661195,0.074313,0.44318,0.99581,0.207501,0.102494,0.366328,0.990626,0.356103,1.260961,0.110161
1.140652,0.788117,0.970187,0.395788,0.116587,0.694539,0.121704,0.463674,0.075589,0.560006,0.325419,0.421672,0.094807,0.643263,0.075594,0.44318,0.991967,0.195973,0.098651,0.365047,0.973972,0.356103,1.257118,0.10888
1.141933,0.790679,0.976593,0.399631,0.116587,0.689415,0.119142,0.463674,0.073027,0.558725,0.324138,0.424234,0.098651,0.595871,0.073031,0.44318,0.988123,0.189569,0.099932,0.367609,0.972691,0.357384,1.260961,0.110161
1.149621,0.793241,0.972749,0.402193,0.114025,0.688134,0.117861,0.464955,0.073027,0.560006,0.317732,0.425515,0.101213,0.577938,0.076875,0.44318,0.988123,0.185726,0.102494,0.374014,0.967566,0.353541,1.267366,0.111442
1.158589,0.788117,0.972749,0.403474,0.115306,0.68173,0.120423,0.467517,0.073027,0.560006,0.325419,0.419111,0.099932,0.570253,0.075594,0.45727,0.989404,0.185726,0.103775,0.374014,0.970128,0.353541,1.248151,0.114004
1.164996,0.789398,0.977874,0.402193,0.112744,0.675325,0.122986,0.467517,0.073027,0.561287,0.327981,0.424234,0.097369,0.566411,0.070469,0.4419,0.971468,0.180602,0.101213,0.376575,0.957317,0.356103,1.263523,0.112723
1.156027,0.79196,0.954813,0.402193,0.115306,0.675325,0.120423,0.468798,0.074308,0.561287,0.3267,0.419111,0.099932,0.516457,0.075594,0.439338,0.958656,0.181883,0.103775,0.372733,0.952193,0.354822,1.245589,0.112723
1.154746,0.795803,0.959937,0.402193,0.117868,0.675325,0.11658,0.468798,0.073027,0.561287,0.329262,0.425515,0.098651,0.472907,0.073031,0.438057,0.954813,0.180602,0.103775,0.376575,0.95988,0.353541,1.202034,0.114004
